Column1,Australia ;  Employed total ;  Persons ;
Jul-1991,7583.0
Aug-1991,7620.7
Sep-1991,7713.2
Oct-1991,7638.0
Nov-1991,7614.9
Dec-1991,7712.2
Jan-1992,7518.9
Feb-1992,7597.2
Mar-1992,7646.2
Apr-1992,7644.1
May-1992,7631.4
Jun-1992,7637.3
Jul-1992,7668.3
Aug-1992,7613.4
Sep-1992,7709.7
Oct-1992,7665.7
Nov-1992,7587.4
Dec-1992,7693.4
Jan-1993,7533.7
Feb-1993,7531.0
Mar-1993,7645.7
Apr-1993,7572.6
May-1993,7620.5
Jun-1993,7627.9
Jul-1993,7646.5
Aug-1993,7589.4
Sep-1993,7747.6
Oct-1993,7738.8
Nov-1993,7744.9
Dec-1993,7842.1
Jan-1994,7646.8
Feb-1994,7738.6
Mar-1994,7824.2
Apr-1994,7827.4
May-1994,7857.9
Jun-1994,7878.4
Jul-1994,7966.0
Aug-1994,7861.7
Sep-1994,8054.4
Oct-1994,7997.2
Nov-1994,8003.3
Dec-1994,8135.5
Jan-1995,7928.4
Feb-1995,8049.9
Mar-1995,8118.1
Apr-1995,8174.6
May-1995,8165.2
Jun-1995,8205.6
Jul-1995,8229.0
Aug-1995,8165.9
Sep-1995,8300.4
Oct-1995,8232.6
Nov-1995,8300.3
Dec-1995,8395.7
Jan-1996,8166.7
Feb-1996,8246.6
Mar-1996,8280.4
Apr-1996,8248.0
May-1996,8297.1
Jun-1996,8311.7
Jul-1996,8332.1
Aug-1996,8265.9
Sep-1996,8373.0
Oct-1996,8319.4
Nov-1996,8314.4
Dec-1996,8431.4
Jan-1997,8235.2
Feb-1997,8291.4
Mar-1997,8347.5
Apr-1997,8343.1
May-1997,8330.2
Jun-1997,8345.6
Jul-1997,8374.9
Aug-1997,8250.3
Sep-1997,8474.0
Oct-1997,8405.2
Nov-1997,8462.1
Dec-1997,8540.5
Jan-1998,8334.7
Feb-1998,8413.0
Mar-1998,8460.0
Apr-1998,8499.9
May-1998,8482.5
Jun-1998,8516.8
Jul-1998,8541.9
Aug-1998,8455.2
Sep-1998,8653.2
Oct-1998,8601.0
Nov-1998,8554.3
Dec-1998,8696.5
Jan-1999,8477.4
Feb-1999,8556.5
Mar-1999,8618.9
Apr-1999,8631.9
May-1999,8606.5
Jun-1999,8673.2
Jul-1999,8706.7
Aug-1999,8603.6
Sep-1999,8777.1
Oct-1999,8755.3
Nov-1999,8763.7
Dec-1999,8900.7
Jan-2000,8628.2
Feb-2000,8754.4
Mar-2000,8830.7
Apr-2000,8882.2
May-2000,8865.0
Jun-2000,8922.0
Jul-2000,9020.0
Aug-2000,8911.6
Sep-2000,9061.3
Oct-2000,8973.1
Nov-2000,8912.7
Dec-2000,9059.6
Jan-2001,8834.9
Feb-2001,8920.9
Mar-2001,8956.0
Apr-2001,9023.6
May-2001,9004.6
Jun-2001,9021.9
Jul-2001,9048.9
Aug-2001,8971.9
Sep-2001,9105.9
Oct-2001,9058.7
Nov-2001,9055.6
Dec-2001,9177.1
Jan-2002,8993.4
Feb-2002,9092.3
Mar-2002,9128.5
Apr-2002,9129.5
May-2002,9134.7
Jun-2002,9180.8
Jul-2002,9194.5
Aug-2002,9150.3
Sep-2002,9303.5
Oct-2002,9249.1
Nov-2002,9286.7
Dec-2002,9439.7
Jan-2003,9281.7
Feb-2003,9372.6
Mar-2003,9362.1
Apr-2003,9365.6
May-2003,9380.1
Jun-2003,9370.4
Jul-2003,9363.9
Aug-2003,9327.0
Sep-2003,9486.1
Oct-2003,9447.8
Nov-2003,9427.7
Dec-2003,9573.6
Jan-2004,9363.8
Feb-2004,9434.5
Mar-2004,9506.4
Apr-2004,9512.0
May-2004,9533.5
Jun-2004,9543.3
Jul-2004,9553.1
Aug-2004,9462.1
Sep-2004,9668.6
Oct-2004,9662.2
Nov-2004,9652.9
Dec-2004,9807.8
Jan-2005,9634.4
Feb-2005,9744.6
Mar-2005,9828.3
Apr-2005,9856.3
May-2005,9850.8
Jun-2005,9896.6
Jul-2005,9912.3
Aug-2005,9870.3
Sep-2005,10004.6
Oct-2005,9949.7
Nov-2005,9945.0
Dec-2005,10074.7
Jan-2006,9842.7
Feb-2006,9961.1
Mar-2006,10048.7
Apr-2006,10041.0
May-2006,10082.1
Jun-2006,10120.8
Jul-2006,10170.8
Aug-2006,10105.8
Sep-2006,10299.5
Oct-2006,10212.4
Nov-2006,10201.6
Dec-2006,10404.3
Jan-2007,10156.1
Feb-2007,10277.0
Mar-2007,10349.2
Apr-2007,10362.9
May-2007,10412.0
Jun-2007,10436.3
Jul-2007,10456.8
Aug-2007,10406.4
Sep-2007,10588.8
Oct-2007,10520.5
Nov-2007,10535.1
Dec-2007,10710.1
Jan-2008,10524.9
Feb-2008,10622.9
Mar-2008,10677.4
Apr-2008,10706.2
May-2008,10690.3
Jun-2008,10745.0
Jul-2008,10762.0
Aug-2008,10710.4
Sep-2008,10854.6
Oct-2008,10807.4
Nov-2008,10757.3
Dec-2008,10915.6
Jan-2009,10681.0
Feb-2009,10776.7
Mar-2009,10775.2
Apr-2009,10792.7
May-2009,10786.8
Jun-2009,10770.9
Jul-2009,10808.8
Aug-2009,10707.3
Sep-2009,10882.1
Oct-2009,10845.2
Nov-2009,10829.2
Dec-2009,11010.9
Jan-2010,10809.9
Feb-2010,10889.2
Mar-2010,10928.9
Apr-2010,10940.1
May-2010,10957.4
Jun-2010,11009.3
Jul-2010,11030.5
Aug-2010,10973.8
Sep-2010,11159.4
Oct-2010,11129.0
Nov-2010,11144.5
Dec-2010,11295.0
Jan-2011,11063.7
Feb-2011,11146.2
Mar-2011,11217.0
Apr-2011,11186.5
May-2011,11196.2
Jun-2011,11221.3
Jul-2011,11225.7
Aug-2011,11127.2
Sep-2011,11315.9
Oct-2011,11270.9
Nov-2011,11239.4
Dec-2011,11355.8
Jan-2012,11160.5
Feb-2012,11237.7
Mar-2012,11334.5
Apr-2012,11331.6
May-2012,11393.2
Jun-2012,11356.0
Jul-2012,11368.8
Aug-2012,11264.1
Sep-2012,11457.6
Oct-2012,11406.0
Nov-2012,11378.3
Dec-2012,11521.3
Jan-2013,11305.9
Feb-2013,11425.3
Mar-2013,11437.3
Apr-2013,11481.1
May-2013,11491.7
Jun-2013,11492.5
Jul-2013,11480.0
Aug-2013,11361.4
Sep-2013,11539.3
Oct-2013,11482.6
Nov-2013,11445.9
Dec-2013,11537.6
Jan-2014,11323.8
Feb-2014,11464.6
Mar-2014,11535.7
Apr-2014,11555.1
May-2014,11553.3
Jun-2014,11553.2
Jul-2014,11542.2
Aug-2014,11572.8
Sep-2014,11533.8
Oct-2014,11550.1
Nov-2014,11581.7
Dec-2014,11715.7
Jan-2015,11467.4
Feb-2015,11724.1
Mar-2015,11698.2
Apr-2015,11711.5
May-2015,11781.4
Jun-2015,11752.9
Jul-2015,11759.9
Aug-2015,11702.6
Sep-2015,11771.0
Oct-2015,11865.8
Nov-2015,11935.3
Dec-2015,12025.0
Jan-2016,11759.6
Feb-2016,11975.9
Mar-2016,11945.5
Apr-2016,11968.5
May-2016,11999.9
Jun-2016,11991.3
Jul-2016,11995.3
Aug-2016,11895.6
Sep-2016,11932.4
Oct-2016,11964.2
Nov-2016,12032.8
Dec-2016,12128.3
Jan-2017,11864.3
Feb-2017,12062.1
Mar-2017,12079.6
Apr-2017,12151.2
May-2017,12230.1
Jun-2017,12227.7
Jul-2017,12234.1
Aug-2017,12221.6
Sep-2017,12308.6
Oct-2017,12321.9
Nov-2017,12418.7
Dec-2017,12511.9
Jan-2018,12247.4
Feb-2018,12471.1
Mar-2018,12446.0
Apr-2018,12475.5
May-2018,12526.1
Jun-2018,12558.3
Jul-2018,12524.5
Aug-2018,12524.5
Sep-2018,12583.4
Oct-2018,12617.7
Nov-2018,12698.0
Dec-2018,12784.3
Jan-2019,12559.6
Feb-2019,12778.1
Mar-2019,12754.1
Apr-2019,12795.2
May-2019,12872.4
Jun-2019,12845.6
Jul-2019,12839.0
Aug-2019,12823.4
Sep-2019,12881.2
Oct-2019,12844.6
Nov-2019,12933.4
Dec-2019,13038.3
Jan-2020,12762.1
Feb-2020,12982.4
Mar-2020,12934.8
Apr-2020,12347.3
May-2020,12126.7
Jun-2020,12321.3
Jul-2020,12413.2
Aug-2020,12499.7
Sep-2020,12497.7
Oct-2020,12651.1
Nov-2020,12802.9
Dec-2020,12908.8
Jan-2021,12647.6
Feb-2021,12949.6
Mar-2021,12970.6
Apr-2021,12947.5
May-2021,13123.8
Jun-2021,13103.8
Jul-2021,13079.6
Aug-2021,12895.8
Sep-2021,12798.5
Oct-2021,12767.1
Nov-2021,13206.2
Dec-2021,13353.4
Jan-2022,13081.2
Feb-2022,13441.3
Mar-2022,13412.8
Apr-2022,13444.7
May-2022,13572.3
Jun-2022,13625.2
Jul-2022,13588.1
Aug-2022,13599.8
Sep-2022,13641.3
Oct-2022,13701.1
Nov-2022,13844.6
Dec-2022,13907.8
Jan-2023,13578.7
Feb-2023,13922.0
Mar-2023,13960.2
Apr-2023,13922.0
May-2023,14102.1
Jun-2023,14070.3
Jul-2023,14024.0
Aug-2023,14025.6
Sep-2023,14061.4
Oct-2023,14139.9
Nov-2023,14268.4
Dec-2023,14279.5
Jan-2024,13906.0
Feb-2024,14335.8
Mar-2024,14267.9
Apr-2024,14259.8
May-2024,14384.7
Jun-2024,14364.3
Jul-2024,14368.2
Aug-2024,14332.3
Sep-2024,14416.9
Oct-2024,14433.9
Nov-2024,14539.0
Dec-2024,14646.6
Jan-2025,14360.3
Feb-2025,14545.1
Mar-2025,14544.3
Apr-2025,14609.0
May-2025,14702.0
Jun-2025,14644.5
Jul-2025,14629.4
Aug-2025,14543.3
Sep-2025,14607.0
Oct-2025,14666.8
Nov-2025,14724.3
