Organisation_Code,Legal Name,Business Name(s),Is RTO,Status,Registration Manager,Legal Authority,Initial Registration Date,Registration Start Date,Registration End Date,Registration End Reason,Head Office Physical Address,Head Office Location State,Latitude,Longitude,VET Org Role,RTO Type,ABN,ACN,URL,CEO Contact Name,CEO Email,CEO Mobile,CEO Phone,Public Enquiries Contact Name,Public Enquiries Contact Role Job Title,Public Enquiries Group Name,Public Enquiries Organisation,Public Enquiries Email,Public Enquiries Mobile,Public Enquiries Phone,Registration Enquiries Contact Name,Registration Enquiries Contact Role Job Title,Registration Enquiries Email,Registration Enquiries Mobile,Registration Enquiries Phone,NSW Delivery Approved,VIC Delivery Approved,QLD Delivery Approved,SA Delivery Approved,WA Delivery Approved,TAS Delivery Approved,NT Delivery Approved,ACT Delivery Approved,International Delivery Approved,Current Restriction/Regulatory Decision
1,Office of the Student Identifiers Registrar,,TRUE,Current,TVET Australia,Office of the Student Identifiers Registrar,5/11/2014,5/11/2014,,,"50 Marcus Clarke Street, Canberra, ACT, 2600",Australian Capital Territory,-35.27742,149.12671,,Other – Not Elsewhere Classified,12862898150,,,USI  Registrar,USIAdmin@education.gov.au,,262137026,USI  Registrar,Registrar,,Department of Education & Training,USIAdmin@education.gov.au,,262137026,USI  Registrar,Registrar,USIAdmin@education.gov.au,,262137026,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
22,Adelaide Training and Employment Centre Inc,ATEC - ADELAIDE TRAINING & EMPLOYMENT CENTRE;ATEC - Group Training,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,28/10/2003,28/10/2018,27/10/2025,,"275 Grand Junction Road, Ottoway, SA, 5013",South Australia,-34.8504,138.54116,,Education/training Business Or Centre: Privately Operated Registered Training Organisation,58209574933,,http://www.atec.asn.au,Mr. Gregory Llewellyn Bassani,gregb@atec.asn.au,423780794,1300112832,,,Reception,Adelaide Training and Employment Centre Inc,bookings@atec.asn.au,1300112832,1300112832,Miss Claire Whitehead,RTO Compliance Manager,clairew@atec.asn.au,409449102,1300112832,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
49,Australian Institute of Management Education and Training Pty Ltd,AIM VET,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,31/12/2023,31/12/2030,,"Ground Floor 7-15 Macquarie Pl, SYDNEY, NSW, 2000",New South Wales,-33.86274,151.20983,,Education/training Business Or Centre: Privately Operated Registered Training Organisation,40009668553,9668553,http://aim.com.au/,Mr. Martin Mercer,martin.mercer@aim.com.au,475030068,475030068,,,Student Services,Australian Institute of Management Education and Training Pty Ltd,studentsupport@aim.com.au,1300658337,1300658337,Ms. Aliki Voukelatos,Senior Policy and Compliance Officer,avoukelatos@scentia.com.au,410841995,410841995,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
58,Australian Institute of Management-Western Australian Human Resource Development Centre Limited,Australian Institute of Leadership & Management;AUSTRALIAN INSTITUTE OF MANAGEMENT HUMAN RESOURCE DEVELOPMENT CENTRE INC,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,20/08/1998,31/08/2024,30/08/2031,,"76 Birkdale Street, Floreat, WA, 6014",Western Australia,-31.94718,115.80264,,Education/training Business Or Centre: Privately Operated Registered Training Organisation,98928669029,625549466,http://www.aimwa.com,Professor Gary Ross Martin,aimrto@aimwa.com,416013859,893838007,Ms Lesley Reagon,Head of RTO,,Australian Institute of Management-Western Australian Human Resource Development Centre Limited,lreagon@aimwa.com,,893838059,Ms Lesley Reagon,Head of RTO,lreagon@aimwa.com,,893838059,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
64,The University of Notre Dame Australia,The University of Notre Dame Australia,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,7/12/1994,1/06/2019,31/05/2026,,"88 Guy Street, Broome, WA, 6725",Western Australia,-17.96128,122.22402,,University - Non-Government Catholic,69330643210,,http://www.nd.edu.au/broome,Ms Kim McCorkell,kim.mccorkell@nd.edu.au,460041126,460041126,,,VET Reception,The University of Notre Dame Australia,vetadmin@nd.edu.au,,499865618,Ms Kim McCorkell,CEO & Director,kim.mccorkell@nd.edu.au,460041126,460041126,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
80,Heather Langton Pty Ltd,Bower Training and Education,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,30/01/2003,1/07/2025,30/06/2032,,"Ground Floor 145 South Tce, ADELAIDE, SA, 5000",South Australia,-34.93533,138.59916,,Education/training Business Or Centre: Privately Operated Registered Training Organisation,97077771174,77771174,https://bowerplace.com.au,Mr Malcolm Robinson,info@bowerplace.com.au,417836766,882216066,Ms Michelle Lindblom,General Manager,,Heather Langton Pty Ltd,info@bowerplace.com.au,,882216066,Ms Michelle Lindblom,General Manager,info@bowerplace.com.au,,882216066,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
95,Cairns Business College Pty Ltd,,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,16/01/2024,15/01/2031,,"Level 38 71 Eagle St, BRISBANE CITY, QLD, 4000",Queensland,-27.4684,153.03021,,Education/training Business Or Centre: Privately Operated Registered Training Organisation,24010113425,10113425,http://www.cbcinstitute.com.au,Mr Daniel Rhys Flett,dan.flett@vitaecapital.com.au,421775989,421775989,Mr Medy Hassan,CEO,,Cairns Business College Pty Ltd,medy.hassan@vitaecapital.com.au,417380065,417380065,Mr Medy Hassan,CEO,medy.hassan@vitaecapital.com.au,417380065,417380065,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
101,Canberra Institute of Technology,Canberra Institute of Technology;CIT Solutions,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1993,21/07/2024,20/07/2031,,"36 Bradley Street, PHILLIP, ACT, 2606",Australian Capital Territory,-35.346498,149.087247,,"Technical And Further Education Institute, Skills Institute Or Polytechnic",43273796990,,http://www.cit.edu.au,Ms Margot McNeill,CITOfficeoftheChiefExecutive@cit.edu.au,,(02)62073107,,,CIT Information,Canberra Institute of Technology,infoline@cit.edu.au,,262073188,Ms Sheree Billingham,Accreditation Manager,citcee@cit.edu.au,,262074186,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104,Career Employment Australia Ltd,CAREER EMPLOYMENT AUSTRALIA INCORPORATED,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,22/08/2024,21/08/2031,,"29 Cambridge Street, Coorparoo, QLD, 4151",Queensland,-27.48831,153.05406,,Community Based Adult Education Provider,65650875007,613305098,http://www.cealtd.org.au,Mr Shane Cowan,shanec@ceagroup.com.au,413436414,413436414,Ms. Sharon Cowan,Deputy Manager,,Career Employment Australia Ltd,sharonc@ceagroup.com.au,,734571200,Ms. Sharon Cowan,Deputy Manager,sharonc@ceagroup.com.au,,734571200,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
109,Australian College of the Arts Pty Ltd,AUSMUSIC;AUSMUSIC LTD;AUSTRALIAN COLLEGE OF THE ARTS;COLLARTS;mercer school of interior design,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/02/1993,1/08/2022,31/07/2029,,"208-224 Wellington St, COLLINGWOOD, VIC, 3066",Victoria,-37.80232,144.98701,,Education/training Business Or Centre: Privately Operated Registered Training Organisation,96082799282,82799282,http://www.collarts.edu.au,Sam Jacob,sjacob@collarts.edu.au,,1300818777,Mrs. Cherie Wright,VET Manager,,Australian College of the Arts Pty Ltd,cwright@collarts.edu.au,476890348,61476890348,Mrs. Cherie Wright,VET Manager,cwright@collarts.edu.au,476890348,61476890348,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
